season,Delay terms,thuis,rondje,supermarkt,kantoor,zorg,AIC,AICc,BIC,npar,Rsq,AkaikeWeight,dAICc,AICc0,Rtmax/Rtmin
+ temp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-66.79018630090192,-8.57,48.93777263495113,42.99999999999996,1,0.3458090728613868,-19.2,10.629556684140177,1.5 (1.2;1.8)
+ temp,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-66.79018630090192,-8.57,48.93777263495113,42.99999999999996,1,0.3458090728613868,-19.2,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-66.01144522474645,-4.14,52.40786159333558,43.99999999999989,1,0.03758889194780009,-14.77,10.629556684140177,1.5 (1.2;1.8)
+ temp,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-69.70574951126073,-3.99,51.40490518905068,44.999999999999986,1,0.03496046550092794,-14.62,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-65.78572235748506,-3.91,52.633584460597234,43.99999999999999,1,0.03357719600400549,-14.54,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-65.43400529641394,-3.56,52.98530152166836,44,1,0.028162424240264546,-14.19,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-64.82682491512541,-2.95,53.59248190295685,43.99999999999998,1,0.020788468314670586,-13.58,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-64.79408672031511,-2.92,53.625220097767084,43.99999999999996,1,0.020450949824841053,-13.55,10.629556684140177,1.5 (1.2;1.8)
+ temp,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-67.88030620068378,-2.17,53.23034849962767,45,1,0.0140341860053989,-12.8,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,-64.6791186382858,1.04,56.431536062025486,44.999999999999936,1,0.0028317713354945664,-9.59,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-64.5285320663581,1.19,56.582122633953276,44.999999999999964,1,0.0026263870158618886,-9.44,10.629556684140177,1.5 (1.2;1.8)
+ temp,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,-64.4777846585461,1.24,56.6328700417653,44.99999999999998,1,0.0025605842102505816,-9.39,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,-64.2101262622881,1.5,56.90052843802334,45,1,0.0022398440467492333,-9.13,10.629556684140177,1.5 (1.2;1.8)
+ temp,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-64.17368764843975,1.54,56.93696705187162,44.999999999999964,1,0.002199405143605265,-9.09,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,-64.17529653440289,1.54,56.9353581659085,44.99999999999997,1,0.002201175151476401,-9.09,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-64.03133222473224,1.68,57.07932247557915,44.99999999999997,1,0.0020482980374303445,-8.95,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-63.93356133881463,1.78,57.17709336149676,44.99999999999997,1,0.0019505741784476567,-8.85,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-63.92340904519267,1.79,57.18724565511877,45,1,0.001940697865566234,-8.84,10.629556684140177,1.5 (1.2;1.8)
+ temp,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-63.90711040989595,1.81,57.20354429041504,44.99999999999983,1,0.001924946769713494,-8.82,10.629556684140177,1.5 (1.2;1.8)
+ temp,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,-63.79194008180173,1.92,57.318714618509716,45,1,0.0018172296138957908,-8.71,10.629556684140177,1.5 (1.2;1.8)
,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-44.09771604313255,10.63,68.93889501049148,42,1,2.337022799454053e-5,0,10.629556684140177,1 (1;1)
