Delay terms,retail,grocery,parks,transit,work,residential,Rsq,dAICc,Rtmax/Rtmin
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.77,-27.54,1.5 (1.3;1.8)
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.78,-26.35,1.6 (1.3;1.9)
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.8,-24.75,1.6 (1.3;1.9)
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.78,-24.02,1.5 (1.3;1.8)
FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.77,-23.2,1.6 (1.3;1.9)
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.77,-23.19,1.6 (1.3;1.9)
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.76,-22.89,1.6 (1.3;2)
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.76,-22.44,1.5 (1.2;1.8)
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.76,-22.25,1.6 (1.3;1.9)
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0.77,-22.07,1.6 (1.3;2)
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.76,-21.87,1.5 (1.3;1.9)
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0.78,-21.24,1.6 (1.3;1.9)
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.78,-21.17,1.5 (1.3;1.8)
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.78,-20.84,1.6 (1.3;2)
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.78,-20.51,1.6 (1.3;1.9)
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.78,-19.92,1.5 (1.2;1.8)
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.74,-19.2,1.5 (1.2;1.8)
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.74,-19.2,1.5 (1.2;1.8)
